EntityId,Name,Type,AlsoKnownAs,WDId,WDUrl,WDDescription,WDSource
zZykl9oz0,Monday,DATE,,,,,
kF9ynMjVo,Department of Correctional Services,ORG,"{'Bosasa', 'AGO'}",Q61640526,https://www.wikidata.org/entity/Q61640526,South African company,PyWikibot
sUucE9IgL,Bosasa scandal,EVENT,,,,,
tgmQnEcZu,"February 28, 2019",DATE,,,,,
elA6wmsUL,Raymond Zondo,PERSON,,Q7299252,https://www.wikidata.org/entity/Q7299252,Chief Justice of South Africa,OpenTapioca
ZVM1aBVjZ,Chief Justice,POSITION,,,,,
ShwThin90,The Judicial Commission of Inquiry into Allegations of State Capture,ORG,"{'Zondo Commission', 'Zondo commission'}",Q65044652,https://www.wikidata.org/wiki/Q65044652,public inquiry,PyWikibot
lXF4PswqN,Gauteng Division,ORG,"{'Gauteng Division of the High Court of South Africa', 'Gauteng High Court'}",Q7055468,https://www.wikidata.org/entity/Q7055468,"superior court of law in Gauteng, South Africa",OpenTapioca
Hr3P2LcGd,Pretoria,GPE,"{'Pretoria, S. Africa', 'Pretoria, Gauteng', 'Pretoria, S Africa', 'Pretoria, Gauteng, South Africa', 'ePitoli', 'Pretoria, South Africa'}",Q3926,https://www.wikidata.org/entity/Q3926,administrative capital of South Africa located in the Gauteng province,PyWikibot
8tzXjoBo2,State Capture Inquiry,ORG,,,,,
d571kdCc5,Zondo commission of inquiry into state capture,EVENT,,,,,
wbwmEngsF,Jacob Zuma,PERSON,"{'Jacob G. Zuma', 'Jacob Gedleyihlekisa Zuma', 'JZ', 'Msholozi'}",Q57282,https://www.wikidata.org/entity/Q57282,4th President of South Africa (2009–2018),OpenTapioca
VoCElKb7u,Ramaphosa to appear at Zondo next week,EVENT,,,,,
DXkYEBlwn,Cyril Ramaphosa,PERSON,"{'Matamela Cyril Ramaphosa', 'Cyril M. Ramaphosa', 'Ramaphosa'}",Q1148669,https://www.wikidata.org/entity/Q1148669,President of South Africa,PyWikibot
PH8RuUgNB,ANC,ORG,"{'ANC', 'African National Congress', 'SANNC'}",Q83162,https://www.wikidata.org/entity/Q83162,political party in South Africa,OpenTapioca
EJHUb7YrS,Deputy President of the country,POSITION,,,,,
5AKrKYNck,state capture inquiry,EVENT,,,,,
bYOuugAtk,president,POSITION,,,,,
eH6cVRnb7,Jacob Zuma's contempt case,EVENT,,,,,
bSzFR3sL3,Gupta Waterkloof landing,EVENT,,,,,
kQX9GoHYR,Christine Anderson,PERSON,,,,,
EDkiKS0E0,Deputy Chief Justice,POSITION,,,,,
8iZGETnXt,Nathi Mncube,PERSON,,,,,
oAvmHdn1A,Ronald Lamola,PERSON,{'Ronald Ozzy Lamola'},Q1718291,https://www.wikidata.org/entity/Q1718291,South African politician,OpenTapioca
jUgRLQ3ug,Justice and Correctional Services Minister,POSITION,,,,,
8RGNXAHhh,Anwa Dramat,PERSON,,,,,
idElHwerU,national Hawks head,POSITION,,,,,
TFW3vaq5B,Mabula,PERSON,,,,,
n0aVqOvf4,South African Police Service,ORG,{'SAPS'},Q1362732,https://www.wikidata.org/entity/Q1362732,government agency,OpenTapioca
VfLIVO0Nf,Ntebo Jan Mabula,PERSON,,,,,
V0hgf0PnZ,Major General,POSITION,,,,,
R8itUOrB1,Courtyard Hotel,FAC,,,,,
NWQpVTian,Khehla Sitole,PERSON,,,,,
kFAX9OIOY,National Commissioner,POSITION,,,,,
l3SrGU02q,Fikile Mbalula,PERSON,{'Fikile April Mbalula'},Q1412305,https://www.wikidata.org/entity/Q1412305,South African politician,OpenTapioca
T7koWuIuR,Minister of Police,POSITION,,,,,
KmAXPUE1u,David Mabuza,PERSON,"{'Mabuza', 'David Dabede Mabuza'}",Q1174142,https://www.wikidata.org/entity/Q1174142,Deputy President of South Africa,OpenTapioca
gNFa65l80,Gauteng,GPE,"{'Gauteng Province', 'Pretoria-Witwatersrand-Vereeniging', 'Province of Gauteng', 'PWV'}",Q133083,https://www.wikidata.org/entity/Q133083,province in South Africa,OpenTapioca
qvy3BsKdo,"Morris ""KGB"" Tshabalala",PERSON,,,,,
T3EoCZXM0,Captain,POSITION,,,,,
AsLYgYbLf,Rapid Deployment Intelligence,ORG,,,,,
eC5bCDuSz,2012,DATE,,,,,
jDUAT3b1S,"Captain Morris ""KGB"" Tshabalala",PERSON,,,,,
A8INQyU7U,crime intelligence,OCCUPATION,,,,,
c6DMQSQZm,Captain Tshabalala,PERSON,,,,,
chfPeSbRa,January 2018,DATE,,,,,
3wumuTRuQ,Cedric Nkabinde,PERSON,,,,,
Ve8cubQAe,IPID,PERSON,,,,,
7rNe1y9HH,Lincoln Hlungwani,PERSON,,,,,
Szq83Ub7U,Brigadier,POSITION,,,,,
bd0lqGCfQ,Secret Services,ORG,,,,,
41J25nu8h,I-View,ORG,,,,,
9sBIhoqnC,Nasrec,ORG,,,,,
9qg8Ce7Nr,Pat Mokushane,PERSON,,,,,
Xv5jTX1hb,Matthews Sesoko,PERSON,,,,,
pFAQ55QlL,Manana Bamuza-Phethle,PERSON,,,,,
UulTk3j0T,Brigadier Manana Bamuza-Phethle,PERSON,,,,,
S3gA50i67,Phetlhe,PERSON,,,,,
bIFpmhMpk,grabber,PRODUCT,,,,,
CJWQ4TsUD,R45m,PRODUCT,,,,,
FYff9mJlr,police,ORG,"{'police force', 'police service', 'national police'}",Q35535,https://www.wikidata.org/entity/Q35535,constituted body of persons empowered by the state to enforce the law,OpenTapioca
WEMypa8dL,Nhlanhla Mkhwanazi,PERSON,,,,,
gJV7pThEe,acting national commissioner,POSITION,,,,,
sZiiZvAVJ,Mokhushane,PERSON,,,,,
VJa6orfgm,his wife,PERSON,,,,,
713G8JCKS,Busisiwe Mkhwebane,PERSON,,Q27449522,https://www.wikidata.org/entity/Q27449522,Public Protector of South Africa,OpenTapioca
P4nawstd6,Public Protector,POSITION,,Q3043123,https://www.wikidata.org/entity/Q3043123,South African executive office that protects the Constitution by investigating public complaints against the government,OpenTapioca
1q8Uk46XM,Caryn Dolley,PERSON,,,,,
kIm68Ijei,City Press,ORG,,,,,
iQ8GAgld5,General Mabula,PERSON,,,,,
RdBzZQpWM,Mabula,POSITION,,,,,
5SjxCtVyV,Andries van Tonder,PERSON,,Q66379249,https://www.wikidata.org/entity/Q66379249,1882 - 1955,OpenTapioca
HJdnqr8cf,Andre Marinus de Ruyter,PERSON,"{'Andre de Ruyter', 'André de Ruyter'}",Q75697431,https://www.wikidata.org/entity/Q75697431,South African businessman,PyWikibot
hOTxqZrJr,Eskom,ORG,"{'Eskom Holdings', 'Electricity Supply Commission', 'ESCOM', 'ESKOM'}",Q1367885,https://www.wikidata.org/entity/Q1367885,electricity utility in South Africa,OpenTapioca
xGM4A5lWH,chief executive officer,POSITION,"{'CE', 'CEO', 'CEx', 'chief executive'}",Q484876,https://www.wikidata.org/wiki/Q484876,highest-ranking corporate officer,PyWikibot
Sx7TbulTT,widely publicised allegations,EVENT,,,,,
SYzwEJVYg,Pravin Gordhan,PERSON,{'Pravin Jamnadas Gordhan'},Q561279,https://www.wikidata.org/entity/Q561279,South African politician,OpenTapioca
yG3ny8YAb,Public Enterprises Minister,POSITION,,,,,
VN3vtmyrG,Tina Joemat-Pettersson,PERSON,,,,,
SlIU148ib,Peter Thabethe,PERSON,,,,,
miH75wDOh,Free State government,ORG,,,,,
uVjbWgGnK,Zondo commission of inquiry,ORG,,,,,
1xv605cX6,Robert McBride,PERSON,,,,,
TfGlVNJpE,Solly Msimanga,PERSON,{'Solly Tshepiso Msimanga'},Q26436344,https://www.wikidata.org/entity/Q26436344,politician,OpenTapioca
M27MDcEqs,Democratic Alliance,ORG,{'DA'},Q761877,https://www.wikidata.org/entity/Q761877,political party in South Africa formed in 2000,PyWikibot
0ujOMMFCX,Gavin Watson,PERSON,,Q92083480,https://www.wikidata.org/entity/Q92083480,archaeologist,PyWikibot
U8VZ3jkdg,Siyabonga Gama,PERSON,,Q115629537,https://www.wikidata.org/entity/Q115629537,Acting Group Chief Executive Officer - Transnet SOC Ltd,OpenTapioca
cbRy49KGB,Transnet Group Capital,ORG,,,,,
2dpoFHgo4,Transnet,ORG,"{'Transnet Ltd.', 'Transnet SOC Ltd'}",Q820804,https://www.wikidata.org/entity/Q820804,"South African rail, port and pipeline company",OpenTapioca
30py6ul32,South African Broadcasting Corporation,ORG,{'SABC'},Q1419926,https://www.wikidata.org/entity/Q1419926,state-owned public broadcaster in South Africa,PyWikibot
WsvKyRQ0O,Lindiwe Sisulu,PERSON,{'Lindiwe Nonceba Sisulu'},Q3241428,https://www.wikidata.org/entity/Q3241428,South African politician,OpenTapioca
pwyzX0xVg,International Relations and Cooperation Minister,POSITION,,,,,
lx7UYixk5,Minister of Public Enterprises,POSITION,,,,,
S0KVYI9MR,Angelo Agrizzi,PERSON,,Q117485611,https://www.wikidata.org/wiki/Q117485611,South African businessman and whistleblower,PyWikibot
5w4uCOTtT,Adriaan E Basson,PERSON,{'Adriaan Basson'},Q58885281,https://www.wikidata.org/entity/Q58885281,researcher ORCID ID = 0000-0002-7541-8132,OpenTapioca
wUy4Wn61Q,News24,ORG,,,,,
BxurNofag,Solly Tshitangano,PERSON,,,,,
boB2gKdv0,chief procurement officer,POSITION,,,,,
hyQcx2MEC,Econ Oil saga,EVENT,,,,,
u0PLlke89,Nazeer Cassim SC,PERSON,,,,,
5nQeY9Yyp,Scotland,POSITION,"{'Alba', 'UK-SC', 'UK-SCT', 'Scotland, United Kingdom', 'SC', 'SCT', 'Caledonia', 'Scot'}",Q22,https://www.wikidata.org/entity/Q22,constituent country of the United Kingdom,OpenTapioca
oB24AdW2J,state capture commission,EVENT,,,,,
DuwOWOmuC,Nkosinathi Nhleko,PERSON,,Q24233839,https://www.wikidata.org/entity/Q24233839,South African politician,PyWikibot
ooYfFRU8P,police minister,ORG,,,,,
AFzGgvI5K,Thuli Madonsela,PERSON,{'Thulisile Madonsela'},Q16731804,https://www.wikidata.org/wiki/Q16731804,South African lawyer,PyWikibot
aoaWW8PaO,Dunstan Mlambo,PERSON,,Q16732703,https://www.wikidata.org/entity/Q16732703,South African judge,OpenTapioca
tsha2Jdwh,Judge President,POSITION,,,,,
kVigsuPfN,In-Depth News,ORG,,,,,
JVKMUcXzX,Mandisa Maya,PERSON,"{'Mandisa Muriel Lindelwa Maya Mlokoti', 'Mandisa Muriel Lindelwa Maya'}",Q29119101,https://www.wikidata.org/entity/Q29119101,South African judge,OpenTapioca
8wtNQz0jU,Deputy Chief Justice Raymond Zondo,POSITION,,,,,
qRkGFNQOP,Deputy Chief Justice Raymond Zondo,PERSON,,,,,
mWcO1AzV3,Karyn Maughan,PERSON,,Q126539890,https://www.wikidata.org/wiki/Q126539890,,PyWikibot
sSy1VBnh9,Pietermaritzburg,GPE,{'PMB'},Q185591,https://www.wikidata.org/entity/Q185591,"city in KwaZulu-Natal, South Africa",PyWikibot
Co4NP6Ep1,Mbuyiselo Stemela,PERSON,,,,,
1WnqJ2dQy,commission spokesperson,POSITION,,,,,
aUR9wOXDh,Frank Dutton,PERSON,,,,,
Ds4Q82zvA,Presidency,POSITION,,,,,
ywvgHd1SP,Thales,PERSON,{'Thales of Miletus'},Q36303,https://www.wikidata.org/entity/Q36303,ancient Greek philosopher and mathematician,OpenTapioca
fgfBJRXOa,French,GPE,,,,,
iKISOQuak,arms,PRODUCT,,,,,
JFXAow3l5,Chief justice nominee,POSITION,,,,,
A15HLJZqu,Navanethem Pillay,PERSON,{'Navi Pillay'},Q242078,https://www.wikidata.org/entity/Q242078,"Lawyer, judge and human rights activist",OpenTapioca
9BFu99XGm,Eric Mabuza,PERSON,,,,,
y7O6rzHBB,lawyer,OCCUPATION,,,,,
k52npdA4F,Deputy Chief Justice Zondo,PERSON,,,,,
3NQAOdk6X,judge,POSITION,,,,,
MCmmVdJH5,chief justice,PERSON,,,,,
rsWh59TFS,South Africa,GPE,"{'Republic of South Africa', 'SA', 'za', 'RSA', '🇿🇦', 'zaf'}",Q258,https://www.wikidata.org/entity/Q258,country in Southern Africa,OpenTapioca
WMN89OmHH,Zuma,PERSON,,,,,
jNIw1mj8n,Duduzane Zuma,PERSON,,Q24234137,https://www.wikidata.org/entity/Q24234137,son of former South African president Jacob Zuma,OpenTapioca
Oo9GtDVce,state capture commission of inquiry,EVENT,,,,,
sqBlFDsDC,Dudu Myeni,PERSON,{'Duduzile Cynthia Myeni'},Q21906403,https://www.wikidata.org/entity/Q21906403,"South African Business Woman,",OpenTapioca
IGuhmUqWp,Jacob Zuma's plea hearing moved to open court,EVENT,,,,,
rXfijTmiP,Jimmy Manyi,PERSON,"{'Mzwanele Jimmy Manyi', 'Mzwanele Manyi'}",Q2194791,https://www.wikidata.org/wiki/Q2194791,South African politician,PyWikibot
88cnJ0TzZ,Jacob Zuma Foundation,ORG,,Q24233936,https://www.wikidata.org/entity/Q24233936,,OpenTapioca
8aGvUwoWx,Vincent Smith,PERSON,,,,,
hOEEdYk00,Daniel Witz,PERSON,,,,,
4e6qEm9UI,Tom Moyane,PERSON,,Q43302513,https://www.wikidata.org/entity/Q43302513,,OpenTapioca
k6T999ZQX,SARS commissioner,POSITION,,,,,
U5J7GXREW,Optimum Coal Mine,ORG,,,,,
CrCJRMdtv,Coal,PRODUCT,,,,,
thLRbgESQ,South African Airways,ORG,{'SAA'},Q223763,https://www.wikidata.org/entity/Q223763,flag-carrier airline of South Africa,OpenTapioca
jPbY6yrjc,Kate Hofmeyr,PERSON,,,,,
0RKsnRUdR,Commissions Act,ORG,,,,,
rgbjnhM6c,Commissions Act,EVENT,,,,,
S0pIAz1dL,state capture,EVENT,,Q7603664,https://www.wikidata.org/wiki/Q7603664,where private interests influence a state's decision-making processes,PyWikibot
D0rbzEtsc,Deidre Strydom,PERSON,,,,,
fPzUvNuGn,Mafika Mkwanazi,PERSON,,,,,
SlHMQfli6,Siyabonga Mahlangu,PERSON,,,,,
Pn28eZ90o,Phillip Mokoena,PERSON,,,,,
GZ2RT5s4M,state capture commission of inquiry,ORG,,,,,
7qYax8hnB,Mcebisi Jonas,PERSON,{'Mcebisi Hubert Jonas'},Q22278431,https://www.wikidata.org/entity/Q22278431,South African politician,OpenTapioca
CNAxSPxxw,deputy finance minister,POSITION,,,,,
nw7bVWOEe,advocate,OCCUPATION,,,,,
J2pwvYv7Y,Hlaudi Motsoeneng,PERSON,,Q28406608,https://www.wikidata.org/entity/Q28406608,,OpenTapioca
X65bkXtKV,SABC 8,ORG,,,,,
tThupbZaT,Madoda Mxakwe,PERSON,,,,,
PG4LMVvN2,Lulama Mokhobo,PERSON,,,,,
p2fT5sQjv,People's Republic of China,GPE,"{'CN', 'CHN', 'China', 'PRC', 'RPC', 'Mainland China', 'cn', 'China PR', '🇨🇳', 'PR China'}",Q148,https://www.wikidata.org/entity/Q148,country in East Asia,OpenTapioca
hcAoQL2Md,Hong Kong,GPE,"{'Hong Kong SAR', 'xiang gang', 'Hong Kong SAR, China', 'HK', 'hk', 'China Hong Kong', 'Hongkong', 'Hong Kong Special Administrative Region', 'HKSAR', '🇭🇰', 'HKG', 'Hong Kong, China'}",Q8646,https://www.wikidata.org/entity/Q8646,special administrative region of China,PyWikibot
k33uB82RD,Office of Foreign Assets Control,ORG,{'OFAC'},Q1620015,https://www.wikidata.org/entity/Q1620015,agency of the United States Department of the Treasury,OpenTapioca
jW61GBS6G,US Department of State,ORG,,,,,
h86AakGjL,US Department of the Treasury,ORG,,,,,
aXM9Q56Sp,Jeanette Chabalala,PERSON,,,,,
EgBrlOLP5,Solomon Segale,PERSON,,,,,
vs7t6Xqqx,Denel,ORG,,,,,
vLzrQSh1f,Denel Land Systems,ORG,,Q5256890,https://www.wikidata.org/entity/Q5256890,division of the South African state-owned Denel group,OpenTapioca
wSK0JpRfo,arms company,INDUSTRY,,,,,
WsJj1xKHI,Dennis Mlambo,PERSON,,,,,
6tjvhvdmV,Specialised Commercial Crime Court,ORG,,,,,
SlW9QaAg3,Palm Ridge Magistrate's Court,GPE,,,,,
32eOqLODr,Zondo lays criminal charges against Jacob Zuma,EVENT,,,,,
IocasaXmz,Thobeka Madiba,PERSON,,,,,
OUI0UJjwR,Jacob Z,PERSON,,,,,
1z1DJT7rU,Mr Jacob Z,PERSON,,,,,
0kK0DJJOi,Ms Thobeka Madiba,PERSON,,,,,
4U92S0uqx,chairperson of the commission,POSITION,,,,,
UTg4o9qry,South African Constitution,LAW,,,,,
uy40ytjBB,president,ORG,,,,,
xbwpsQ0dX,Council for the Advancement of the South African Constitution,ORG,,,,,
P0t8dsW92,Canny Maphanga,PERSON,,,,,
YeuYuLE7q,chairperson,POSITION,,,,,
rIv77E2DS,Vytjie Mentor,PERSON,{'Mabel Patronella Mentor'},Q98187397,https://www.wikidata.org/entity/Q98187397,South African politician,OpenTapioca
6ctTRdgrO,Ajay Gupta,PERSON,,,,,
LHquTC7G9,Saxonworld,GPE,,,,,
saukM2GhB,Zuma's court case last month,EVENT,,,,,
MGp5M8oOJ,Dali Mpofu,PERSON,,Q61508907,https://www.wikidata.org/entity/Q61508907,,OpenTapioca
zAtKDtflX,Piet Koen,PERSON,"{'Petrus Koen', 'Petrus Arnolus Koen'}",Q124150866,https://www.wikidata.org/wiki/Q124150866,South African judge,OpenTapioca
JHJMsIN8n,Free State,GPE,"{'province of the Free State', 'province of Free State', 'Orange Free State', 'Free State Province'}",Q160284,https://www.wikidata.org/entity/Q160284,province of South Africa,PyWikibot
ByKNzIjLG,Mosebenzi Zwane,PERSON,{'Mosebenzi Joseph Zwane'},Q28086070,https://www.wikidata.org/entity/Q28086070,Minister of Mineral Resources of South Africa in the Second Cabinet of Jacob Zuma,OpenTapioca
1sWBW9XIu,Free State Housing MEC,POSITION,,,,,
KQfR6nkrn,Free State Housing,ORG,,,,,
3LRoENeCd,state capture commission,ORG,,,,,
181Ngm34o,Sisi Khampepe,PERSON,{'Sisi Virginia Khampepe'},Q2290240,https://www.wikidata.org/entity/Q2290240,lawyer and judge,OpenTapioca
k6Yxa5NpD,Constitutional Court,ORG,,,,,
zrpGgdx0v,Frontline,EVENT,,,,,
oCrhRHmz7,Justice,POSITION,,,,,
5CrR3nmrP,Duduzile Zuma,PERSON,,,,,
5l5KPvOUz,President of South Africa,POSITION,,Q273884,https://www.wikidata.org/wiki/Q273884,South Africa's head of state and head of government,OpenTapioca
6KMuTPGQx,Radical Economic Transformation,ORG,,,,,
BFnS9ki2E,Zuma Support Group,PERSON,,,,,
y4dZSK3dy,Afro Worldview,ORG,"{'Africa News Network 7', 'ANN7'}",Q16154941,https://www.wikidata.org/wiki/Q16154941,South African former satellite TV news channel,PyWikibot
jQqZ48fDF,Sun City wedding,EVENT,,,,,
TFgej9Q6q,MultiChoice,ORG,,,,,
rgC3lO9l9,Mogoeng Mogoeng,PERSON,{'Mogoeng Thomas Reetsang Mogoeng'},Q6890661,https://www.wikidata.org/entity/Q6890661,Chief Justice of South Africa,OpenTapioca
eGKKtXDIK,head of state,POSITION,,,,,
n98NFPPW5,Robert Sobukwe,PERSON,{'Robert Mangaliso Sobukwe'},Q121885,https://www.wikidata.org/entity/Q121885,"South African teacher, Pan-Africanist, and anti-apartheid activist (1924-1978)",OpenTapioca
f070ddyUD,Pan Africanist Congress of Azania,ORG,"{'Pan Africanist Congress', 'PAC'}",Q775460,https://www.wikidata.org/entity/Q775460,political party in South Africa,PyWikibot
VMXzQQRsW,High Court,ORG,,,,,
6v239SABP,President Cyril Ramaphosa,PERSON,,,,,
CaBEv1NwU,president of the country,POSITION,,,,,
jxEtwEFt4,Geoff Makhubo,PERSON,{'Moloantoa Geoffrey Makhubo'},Q77324578,https://www.wikidata.org/entity/Q77324578,South African politician,OpenTapioca
YV30wYeG4,City of Johannesburg Mayor,POSITION,,,,,
lHO9ZafQy,Greater Johannesburg Region,GPE,,,,,
RgVM8dCeK,Johannesburg,GPE,"{'joburg', 'Johannesburg, Gauteng, South Africa', 'Johannesburg, South Africa', ""Jo'burg"", 'Jozi', 'Johannesburg, Gauteng', 'ZAJNB', 'eGoli'}",Q34647,https://www.wikidata.org/entity/Q34647,largest city in South Africa,OpenTapioca
DXuwSDfyD,Leah Knott,PERSON,,,,,
TbOFZ672Y,City of Johannesburg DA caucus leader,POSITION,,,,,
d0BXhtqCY,City of Johannesburg DA,ORG,,,,,
2Z39wtD8H,Phumla Williams,PERSON,,,,,
pRenzrL1p,Government Communication Information System,ORG,"{'GCIS', 'Government Communication and Information System'}",Q5588768,https://www.wikidata.org/entity/Q5588768,,OpenTapioca
N6odP1ETr,Faith Muthambi,PERSON,{'Azwihangwisi Faith Muthambi'},Q17075932,https://www.wikidata.org/entity/Q17075932,South African politician,OpenTapioca
ibC3yUzRD,People's Dialogue,ORG,,,,,
GNDftfu0w,Herman Mashaba,PERSON,"{'Chen Jining', 'Herman Samtseu Philip Mashaba'}",Q20981704,https://www.wikidata.org/entity/Q20981704,South African businessperson,OpenTapioca
tVMi2DdUT,Ace Magashule,PERSON,"{'Elias Sekgobelo ""Ace"" Magashule'}",Q16193229,https://www.wikidata.org/entity/Q16193229,South African politician,OpenTapioca
ydmiaafn4,ANC secretary-general,POSITION,,,,,
7VpfXfI1H,Rebecca Kotane,PERSON,,,,,
BAibJTdoq,South African Communist Party,ORG,"{'CPSA', 'SACP', 'Communist Party of South Africa'}",Q305317,https://www.wikidata.org/entity/Q305317,"Political party in South Africa, allied with the ANC",OpenTapioca
LVNmGz5BD,Diepkloof,GPE,,,,,
AZHcDsLxN,Soweto,GPE,,,,,
lyijiKAE8,Lord Peter Hain,PERSON,,,,,
7B348ZJmK,Labour party,ORG,,,,,
0B4esrZ4B,Ajay,PERSON,,,,,
KB6QiNqBN,Atul,PERSON,,,,,
8gXOoo3mZ,Tony,PERSON,,,,,
giwZcu5Lu,Siphiwe Nyanda,PERSON,,Q951030,https://www.wikidata.org/entity/Q951030,South African Army general and Cabinet Minister,OpenTapioca
Jyh4eiZOc,Umkhonto we Sizwe,ORG,,,,,
KbkG7CiIt,Lungisa Fuzile,PERSON,,,,,
5ve3vddgz,National Treasury,ORG,,Q15261150,https://www.wikidata.org/entity/Q15261150,treasury of South Africa,OpenTapioca
lXWnNlLmm,National Treasury director general,POSITION,,,,,
O8Bd7EMQk,local government minister,POSITION,,,,,
Thi1hntq3,Mark Vaughan,PERSON,,,,,
aCLbb8eB9,Kalandra Viljoen,PERSON,,,,,
Ov78BfknY,Asset Movement Financial Services,ORG,,,,,
3B2XCuUmc,BnP Capital,ORG,,,,,
ZmGgnPebb,VR Laser,ORG,,,,,
qEvrWUJgm,Gupta,PERSON,,,,,
ogEbM2odO,judicial commission of inquiry into state capture,ORG,,,,,
X2UifROr7,Jacob Zuma back at state capture inquiry on Monday,EVENT,,,,,
sC3xvZPH1,Umkhonto we Sizwe Military Veterans Association,ORG,,,,,
fiH8hTdr7,Ngoako Ramathlodi,PERSON,"{'Ngoako Abel Ramathlodi', 'Ngoako Ramatlhodi'}",Q16765753,https://www.wikidata.org/wiki/Q16765753,South African politician,PyWikibot
aHv3gAh5j,Sajid Javid,PERSON,,Q727798,https://www.wikidata.org/entity/Q727798,British politician (born 1969),OpenTapioca
fAqNjVQMU,UK Labour party,ORG,,,,,
kCKDL3pbv,Corruption Watch,ORG,{'CW'},,,,
slE1yCfMH,Civil society,INDUSTRY,,,,,
vZcp5Fe74,Virginia Petersen,PERSON,,,,,
79JlvDwY7,SASSA,ORG,,,,,
FfgJVkZGm,Nomvula Mokonyane,PERSON,{'Nomvula Paula Mokonyane'},Q7048706,https://www.wikidata.org/entity/Q7048706,South African politician,OpenTapioca
ZQqpZ0xRP,government ministers,POSITION,,,,,
kDpyCvX1O,Gwede Mantas,PERSON,,,,,
1SobWz6kg,Gwede Mantashe,PERSON,{'Samson Gwede Mantashe'},Q975366,https://www.wikidata.org/entity/Q975366,South African politician,OpenTapioca
8bhd3TsJb,Jackson Mthembu,PERSON,{'Jackson Mphikwa Mthembu'},Q6117269,https://www.wikidata.org/entity/Q6117269,South African politician,OpenTapioca
ADL0wfzdw,Minister in the Presidency,POSITION,,Q20981731,https://www.wikidata.org/wiki/Q20981731,Minister in the Cabinet of South Africa,PyWikibot
BMKanAJUh,Thursday morning,DATE,,,,,
r4GndGyTs,54th ANC national elective conference,EVENT,,,,,
RVtu3LzDX,Johann van Loggerenberg,PERSON,,,,,
r6wWUzrWW,South African Revenue Service,ORG,{'SARS'},Q7565786,https://www.wikidata.org/entity/Q7565786,law enforcement agency in South Africa,OpenTapioca
kKgigVw8E,Themba Maseko's house was burgled,EVENT,,,,,
gkI7waXXC,Themba Maseko,PERSON,{'Themba James Maseko'},Q7781198,https://www.wikidata.org/entity/Q7781198,South African politician,OpenTapioca
3yj6GuCnG,house was burgled,EVENT,,,,,
HTJvnEP0y,Vrede,GPE,,,,,
UGCk9hyaT,Shamila Batohi,PERSON,,Q59658921,https://www.wikidata.org/entity/Q59658921,,OpenTapioca
mupuYk4kn,NDPP,POSITION,"{'National Director of Public Prosecutions', 'NDPP'}",,,,
kNobUVGYO,Hermione Cronje,PERSON,{'Hermione Theresa Cronje'},Q64010429,https://www.wikidata.org/entity/Q64010429,South African prosecutor,OpenTapioca
9tZTkxJ4N,commission of inquiry into state capture,ORG,,,,,
mGJuGptN2,Hawks,PERSON,,,,,
F3roGo5XV,Passenger Rail Agency of SA,ORG,,,,,
lMoS67dKs,Bheki Cele,PERSON,{'Bhekokwakhe Hamilton Cele'},Q4901661,https://www.wikidata.org/entity/Q4901661,South African politician,OpenTapioca
OCng6679x,Police Minister,POSITION,,,,,
J4WVyI8W4,Nkandla,ORG,{'Inkandla'},Q17052738,https://www.wikidata.org/entity/Q17052738,town,PyWikibot
7PaM93tP3,Free State Division,ORG,"{'Orange Free State Provincial Division', 'Free State High Court', 'Bloemfontein High Court', 'Free State Division of the High Court of South Africa'}",Q5500096,https://www.wikidata.org/entity/Q5500096,"superior court of law in the Free State, South Africa",OpenTapioca
7FOtTxVd9,Bloemfontein,GPE,,Q37701,https://www.wikidata.org/entity/Q37701,judicial capital of South Africa,PyWikibot
nXa5N4f8V,Ferrari,ORG,,,,,
T7k89Na4v,sports cars,PRODUCT,,,,,
woidYJOOs,Porsche,ORG,,,,,
h69OGxEsX,Porsche Cayenne S Coupé,PRODUCT,,,,,
I4ulhTbm4,Supra Mahumapelo,PERSON,{'Supra Obakeng Ramoeletsi Mahumapelo'},Q28043267,https://www.wikidata.org/entity/Q28043267,politician,OpenTapioca
HauoJeevy,ANC North West,ORG,,,,,
m6P4C1zuX,Mosiuoa Lekota,PERSON,{'Mosiuoa Gerard Patrick Lekota'},Q982259,https://www.wikidata.org/entity/Q982259,South African politician,OpenTapioca
nFSyR5qVc,Edward Drinker Cope,ORG,"{'Cope', 'E. D. Cope', 'Edward Cope', 'Congress of the People'}",Q1125988,https://www.wikidata.org/entity/Q1125988,"American paleontologist, geologist and biologist (1840–1897)",PyWikibot
tQHjLKWCg,Parktown,GPE,,,,,
Bzslxuv6W,minister of sports and recreation,POSITION,,,,,
GesvuKblV,Mbalula to appear before state capture inquiry,EVENT,,,,,
lnpTEFXyb,Gupta Brothers,PERSON,{'Gupta brothers'},Q104838801,https://www.wikidata.org/wiki/Q104838801,Television series,PyWikibot
JYa6Bjv8q,Guptas,FAMILY,,,,,
dcFr5lBYv,state capture allegations,EVENT,,,,,
Nv4QHrLpp,Ray Zondo,PERSON,,,,,
LzTrjpR2v,Acting Chief Justice,POSITION,,,,,
E3rfIrJT8,Dakota Legoete,PERSON,,,,,
XUUFVrtPq,Environmental Affairs Minister,POSITION,,,,,
gdMEkVXSA,Thabo Mtsweni,PERSON,,,,,
7wSe7fQ0V,Deputy President,POSITION,,,,,
btOo62Ip8,judicial commission of inquiry into allegations of state capture,ORG,,,,,
